pulse,spo2,gen_pulse,gen_spo2,timestamp,label,gen_label
70.0,99.0,,,2024-01-01 00:00:00,normal,
70.0,99.0,,,2024-01-01 00:00:01,normal,
70.0,98.0,,,2024-01-01 00:00:02,normal,
70.0,98.0,,,2024-01-01 00:00:03,selective_forwarding,
70.0,98.0,,,2024-01-01 00:00:04,selective_forwarding,
70.0,98.0,,,2024-01-01 00:00:05,selective_forwarding,
70.0,98.0,,,2024-01-01 00:00:06,selective_forwarding,
70.0,98.0,,,2024-01-01 00:00:07,selective_forwarding,
70.0,98.0,,,2024-01-01 00:00:08,selective_forwarding,
70.0,98.0,,,2024-01-01 00:00:09,selective_forwarding,
70.0,98.0,,,2024-01-01 00:00:10,selective_forwarding,
71.0,99.0,,,2024-01-01 00:00:11,normal,
71.0,99.0,,,2024-01-01 00:00:12,normal,
70.0,99.0,,,2024-01-01 00:00:13,normal,
71.0,99.0,,,2024-01-01 00:00:14,normal,
71.0,99.0,,,2024-01-01 00:00:15,normal,
71.0,99.0,,,2024-01-01 00:00:16,normal,
71.0,99.0,,,2024-01-01 00:00:17,normal,
71.0,99.0,,,2024-01-01 00:00:18,normal,
71.0,99.0,,,2024-01-01 00:00:19,normal,
74.0,99.0,,,2024-01-01 00:00:20,normal,
74.0,99.0,,,2024-01-01 00:00:21,normal,
75.0,99.0,,,2024-01-01 00:00:22,normal,
72.0,99.0,,,2024-01-01 00:00:23,normal,
70.0,99.0,,,2024-01-01 00:00:24,normal,
70.0,99.0,,,2024-01-01 00:00:25,normal,
70.0,99.0,,,2024-01-01 00:00:26,normal,
70.0,99.0,,,2024-01-01 00:00:27,normal,
71.0,99.0,,,2024-01-01 00:00:28,normal,
70.0,99.0,,,2024-01-01 00:00:29,normal,
72.0,99.0,70.14630525682372,99.02627563788016,2024-01-01 00:00:30,normal,normal
72.0,99.0,70.18172331190083,99.03582222733164,2024-01-01 00:00:31,normal,normal
72.0,99.0,70.2436373274193,99.03610362323123,2024-01-01 00:00:32,normal,normal
73.0,99.0,70.35091692282045,99.0406984200635,2024-01-01 00:00:33,normal,normal
73.0,99.0,70.42290249948084,99.04483776235995,2024-01-01 00:00:34,normal,normal
74.0,99.0,73.25934082088163,98.91412370197881,2024-01-01 00:00:35,normal,normal
75.0,99.0,73.0617627726289,98.9395156567693,2024-01-01 00:00:36,normal,normal
73.0,99.0,72.91568347501156,98.96437221726579,2024-01-01 00:00:37,normal,normal
72.0,99.0,72.85575072692653,98.98395798807256,2024-01-01 00:00:38,normal,normal
72.0,100.0,72.80324832349329,98.99550992913623,2024-01-01 00:00:39,normal,normal
73.0,100.0,72.89985795344289,99.72894896107474,2024-01-01 00:00:40,normal,normal
