pulse,spo2,gen_pulse,gen_spo2,timestamp,label,gen_label
70.0,99.0,,,2024-01-01 00:00:00,normal,
70.0,99.0,,,2024-01-01 00:00:01,normal,
70.0,98.0,,,2024-01-01 00:00:02,normal,
70.0,98.0,,,2024-01-01 00:00:03,normal,
69.0,98.0,,,2024-01-01 00:00:04,normal,
69.0,98.0,,,2024-01-01 00:00:05,normal,
69.0,98.0,,,2024-01-01 00:00:06,normal,
69.0,98.0,,,2024-01-01 00:00:07,normal,
70.0,98.0,,,2024-01-01 00:00:08,normal,
71.0,98.0,,,2024-01-01 00:00:09,normal,
71.0,98.0,,,2024-01-01 00:00:10,normal,
71.0,99.0,,,2024-01-01 00:00:11,normal,
71.0,99.0,,,2024-01-01 00:00:12,normal,
70.0,99.0,,,2024-01-01 00:00:13,normal,
71.0,99.0,,,2024-01-01 00:00:14,normal,
71.0,99.0,,,2024-01-01 00:00:15,normal,
71.0,99.0,,,2024-01-01 00:00:16,normal,
71.0,99.0,,,2024-01-01 00:00:17,normal,
71.0,99.0,,,2024-01-01 00:00:18,normal,
71.0,99.0,,,2024-01-01 00:00:19,normal,
74.0,99.0,,,2024-01-01 00:00:20,normal,
74.0,99.0,,,2024-01-01 00:00:21,normal,
75.0,99.0,,,2024-01-01 00:00:22,normal,
72.0,99.0,,,2024-01-01 00:00:23,normal,
70.0,99.0,,,2024-01-01 00:00:24,normal,
70.0,99.0,,,2024-01-01 00:00:25,normal,
70.0,99.0,,,2024-01-01 00:00:26,normal,
70.0,99.0,,,2024-01-01 00:00:27,normal,
71.0,99.0,,,2024-01-01 00:00:28,normal,
70.0,99.0,,,2024-01-01 00:00:29,normal,
72.0,99.0,69.57746198864686,98.99140514045006,2024-01-01 00:00:30,normal,normal
72.0,99.0,69.55998282308616,98.98876961814108,2024-01-01 00:00:31,normal,normal
72.0,99.0,69.76276951382899,98.97904977250911,2024-01-01 00:00:32,normal,normal
73.0,99.0,69.95949678633123,98.97443133179966,2024-01-01 00:00:33,normal,normal
73.0,99.0,70.06465548208344,98.97094218254301,2024-01-01 00:00:34,normal,normal
74.0,99.0,71.46960005767482,98.96145932356565,2024-01-01 00:00:35,normal,normal
75.0,99.0,71.15639165298762,98.9614464309488,2024-01-01 00:00:36,normal,normal
73.0,99.0,71.19012803047852,98.95822690702414,2024-01-01 00:00:37,normal,normal
72.0,99.0,71.28842558247031,98.95581554660876,2024-01-01 00:00:38,normal,normal
72.0,100.0,71.36727644926816,98.9531073167263,2024-01-01 00:00:39,normal,normal
73.0,100.0,72.17791390351547,99.60787681166478,2024-01-01 00:00:40,normal,normal
75.0,100.0,73.37573685460518,99.6724016787245,2024-01-01 00:00:41,normal,normal
