pulse,spo2,gen_pulse,gen_spo2,timestamp,label,gen_label
70.0,99.0,,,2024-01-01 00:00:00,normal,
70.0,99.0,,,2024-01-01 00:00:01,normal,
70.0,98.0,,,2024-01-01 00:00:02,normal,
70.0,98.0,,,2024-01-01 00:00:03,normal,
69.0,98.0,,,2024-01-01 00:00:04,normal,
69.0,98.0,,,2024-01-01 00:00:05,normal,
69.0,98.0,,,2024-01-01 00:00:06,normal,
69.0,98.0,,,2024-01-01 00:00:07,normal,
70.0,98.0,,,2024-01-01 00:00:08,normal,
71.0,98.0,,,2024-01-01 00:00:09,normal,
71.0,98.0,,,2024-01-01 00:00:10,normal,
71.0,99.0,,,2024-01-01 00:00:11,normal,
71.0,99.0,,,2024-01-01 00:00:12,normal,
70.0,99.0,,,2024-01-01 00:00:13,normal,
71.0,99.0,,,2024-01-01 00:00:14,normal,
71.0,99.0,,,2024-01-01 00:00:15,normal,
71.0,99.0,,,2024-01-01 00:00:16,normal,
71.0,99.0,,,2024-01-01 00:00:17,normal,
71.0,99.0,,,2024-01-01 00:00:18,normal,
71.0,99.0,,,2024-01-01 00:00:19,normal,
74.0,99.0,,,2024-01-01 00:00:20,normal,
74.0,99.0,,,2024-01-01 00:00:21,normal,
75.0,99.0,,,2024-01-01 00:00:22,normal,
72.0,99.0,,,2024-01-01 00:00:23,normal,
70.0,99.0,,,2024-01-01 00:00:24,normal,
70.0,99.0,,,2024-01-01 00:00:25,normal,
70.0,99.0,,,2024-01-01 00:00:26,normal,
70.0,99.0,,,2024-01-01 00:00:27,normal,
71.0,99.0,,,2024-01-01 00:00:28,normal,
70.0,99.0,,,2024-01-01 00:00:29,normal,
72.0,99.0,70.9267848657827,99.02802938080636,2024-01-01 00:00:30,normal,normal
72.0,99.0,71.0113200183338,99.02980646475594,2024-01-01 00:00:31,normal,normal
72.0,99.0,71.16029535679321,99.0356115370796,2024-01-01 00:00:32,normal,normal
73.0,99.0,71.25593161867663,99.04036321413906,2024-01-01 00:00:33,normal,normal
73.0,99.0,71.36700056349271,99.04662813688236,2024-01-01 00:00:34,normal,normal
74.0,99.0,71.86011279663319,98.98810651327733,2024-01-01 00:00:35,normal,normal
75.0,99.0,71.78536843987338,99.02226167257366,2024-01-01 00:00:36,normal,normal
73.0,99.0,71.79578671937847,99.03899036585207,2024-01-01 00:00:37,normal,normal
72.0,99.0,71.89267999854553,99.05417025783078,2024-01-01 00:00:38,normal,normal
72.0,100.0,72.02861665817962,99.06885351600191,2024-01-01 00:00:39,normal,normal
73.0,100.0,72.76190050345357,99.52818511897415,2024-01-01 00:00:40,normal,normal
75.0,100.0,72.80682196003154,99.62369820471092,2024-01-01 00:00:41,normal,normal
