pulse,spo2,gen_pulse,gen_spo2,timestamp,label,gen_label
70.0,99.0,,,2024-01-01 00:00:00,normal,
70.0,99.0,,,2024-01-01 00:00:01,normal,
70.0,98.0,,,2024-01-01 00:00:02,normal,
70.0,98.0,,,2024-01-01 00:00:03,normal,
69.0,98.0,,,2024-01-01 00:00:04,normal,
69.0,98.0,,,2024-01-01 00:00:05,normal,
69.0,98.0,,,2024-01-01 00:00:06,normal,
69.0,98.0,,,2024-01-01 00:00:07,normal,
70.0,98.0,,,2024-01-01 00:00:08,normal,
71.0,98.0,,,2024-01-01 00:00:09,normal,
71.0,98.0,,,2024-01-01 00:00:10,normal,
71.0,99.0,,,2024-01-01 00:00:11,normal,
71.0,99.0,,,2024-01-01 00:00:12,normal,
70.0,99.0,,,2024-01-01 00:00:13,normal,
71.0,99.0,,,2024-01-01 00:00:14,normal,
71.0,99.0,,,2024-01-01 00:00:15,normal,
71.0,99.0,,,2024-01-01 00:00:16,normal,
71.0,99.0,,,2024-01-01 00:00:17,normal,
71.0,99.0,,,2024-01-01 00:00:18,normal,
71.0,99.0,,,2024-01-01 00:00:19,normal,
74.0,99.0,,,2024-01-01 00:00:20,normal,
74.0,99.0,,,2024-01-01 00:00:21,normal,
75.0,99.0,,,2024-01-01 00:00:22,normal,
72.0,99.0,,,2024-01-01 00:00:23,normal,
70.0,99.0,,,2024-01-01 00:00:24,normal,
70.0,99.0,,,2024-01-01 00:00:25,normal,
70.0,99.0,,,2024-01-01 00:00:26,normal,
70.0,99.0,,,2024-01-01 00:00:27,normal,
71.0,99.0,,,2024-01-01 00:00:28,normal,
70.0,99.0,,,2024-01-01 00:00:29,normal,
72.0,99.0,72.63811349971489,99.03091207652322,2024-01-01 00:00:30,normal,normal
72.0,99.0,72.78094786316295,99.04506833091241,2024-01-01 00:00:31,normal,normal
72.0,99.0,72.75909484804362,99.05029258082436,2024-01-01 00:00:32,normal,normal
73.0,99.0,72.829508863289,99.05012929194432,2024-01-01 00:00:33,normal,normal
73.0,99.0,72.95479310330882,99.04499899859314,2024-01-01 00:00:34,normal,normal
74.0,99.0,73.29523683591762,99.03459185954098,2024-01-01 00:00:35,normal,normal
75.0,99.0,73.48129704660872,99.04903236981086,2024-01-01 00:00:36,normal,normal
73.0,99.0,73.4859567693291,99.06023878589163,2024-01-01 00:00:37,normal,normal
72.0,99.0,73.58690893229411,99.06545554579202,2024-01-01 00:00:38,normal,normal
72.0,100.0,73.75412803182354,99.06421492149013,2024-01-01 00:00:39,normal,normal
73.0,100.0,71.89520355974516,99.15791947319872,2024-01-01 00:00:40,normal,normal
75.0,100.0,72.1854995483179,99.08397544445234,2024-01-01 00:00:41,replay_attack,normal
