pulse,spo2,gen_pulse,gen_spo2,timestamp,label,gen_label
70.0,99.0,,,2024-01-01 00:00:00,normal,
70.0,99.0,,,2024-01-01 00:00:01,normal,
70.0,98.0,,,2024-01-01 00:00:02,normal,
70.0,98.0,,,2024-01-01 00:00:03,normal,
69.0,98.0,,,2024-01-01 00:00:04,normal,
69.0,98.0,,,2024-01-01 00:00:05,normal,
69.0,98.0,,,2024-01-01 00:00:06,normal,
69.0,98.0,,,2024-01-01 00:00:07,normal,
70.0,98.0,,,2024-01-01 00:00:08,normal,
71.0,98.0,,,2024-01-01 00:00:09,normal,
71.0,98.0,,,2024-01-01 00:00:10,normal,
71.0,99.0,,,2024-01-01 00:00:11,normal,
71.0,99.0,,,2024-01-01 00:00:12,normal,
70.0,99.0,,,2024-01-01 00:00:13,normal,
71.0,99.0,,,2024-01-01 00:00:14,normal,
71.0,99.0,,,2024-01-01 00:00:15,normal,
71.0,99.0,,,2024-01-01 00:00:16,normal,
71.0,99.0,,,2024-01-01 00:00:17,normal,
71.0,99.0,,,2024-01-01 00:00:18,normal,
71.0,99.0,,,2024-01-01 00:00:19,normal,
74.0,99.0,,,2024-01-01 00:00:20,normal,
74.0,99.0,,,2024-01-01 00:00:21,normal,
75.0,99.0,,,2024-01-01 00:00:22,normal,
72.0,99.0,,,2024-01-01 00:00:23,normal,
70.0,99.0,,,2024-01-01 00:00:24,normal,
70.0,99.0,,,2024-01-01 00:00:25,normal,
70.0,99.0,,,2024-01-01 00:00:26,normal,
70.0,99.0,,,2024-01-01 00:00:27,normal,
71.0,99.0,,,2024-01-01 00:00:28,normal,
70.0,99.0,,,2024-01-01 00:00:29,normal,
72.0,99.0,68.08346592608223,98.36295770109584,2024-01-01 00:00:30,normal,normal
72.0,99.0,72.51303904047936,98.80570428834577,2024-01-01 00:00:31,normal,normal
72.0,99.0,77.97738218532928,98.74369392351588,2024-01-01 00:00:32,normal,normal
73.0,99.0,81.13903977381685,98.58453306984049,2024-01-01 00:00:33,normal,normal
73.0,99.0,82.89289776100345,98.26400126854854,2024-01-01 00:00:34,normal,normal
74.0,99.0,70.42470332178367,98.43098349723273,2024-01-01 00:00:35,normal,normal
75.0,99.0,75.57513240100755,98.95089238679351,2024-01-01 00:00:36,normal,normal
73.0,99.0,80.51494298538512,98.95716041200012,2024-01-01 00:00:37,normal,normal
72.0,99.0,83.06388709950645,98.87187772921878,2024-01-01 00:00:38,normal,normal
72.0,100.0,84.3596618417783,98.64228958911211,2024-01-01 00:00:39,normal,normal
73.0,100.0,72.66682755309388,98.57235311521747,2024-01-01 00:00:40,normal,normal
75.0,100.0,74.23324647727705,99.09196710653447,2024-01-01 00:00:41,normal,normal
