pulse,spo2,gen_pulse,gen_spo2,timestamp,label,gen_label
70.0,99.0,,,2024-01-01 00:00:00,normal,
70.0,99.0,,,2024-01-01 00:00:01,normal,
70.0,98.0,,,2024-01-01 00:00:02,normal,
70.0,98.0,,,2024-01-01 00:00:03,normal,
69.0,98.0,,,2024-01-01 00:00:04,normal,
69.0,98.0,,,2024-01-01 00:00:05,normal,
69.0,98.0,,,2024-01-01 00:00:06,normal,
69.0,98.0,,,2024-01-01 00:00:07,normal,
70.0,98.0,,,2024-01-01 00:00:08,normal,
71.0,98.0,,,2024-01-01 00:00:09,normal,
71.0,98.0,,,2024-01-01 00:00:10,normal,
71.0,99.0,,,2024-01-01 00:00:11,normal,
71.0,99.0,,,2024-01-01 00:00:12,normal,
70.0,99.0,,,2024-01-01 00:00:13,normal,
71.0,99.0,,,2024-01-01 00:00:14,normal,
71.0,99.0,,,2024-01-01 00:00:15,normal,
71.0,99.0,,,2024-01-01 00:00:16,normal,
71.0,99.0,,,2024-01-01 00:00:17,normal,
71.0,99.0,,,2024-01-01 00:00:18,normal,
71.0,99.0,,,2024-01-01 00:00:19,normal,
74.0,99.0,,,2024-01-01 00:00:20,normal,
74.0,99.0,,,2024-01-01 00:00:21,normal,
75.0,99.0,,,2024-01-01 00:00:22,normal,
72.0,99.0,,,2024-01-01 00:00:23,normal,
70.0,99.0,,,2024-01-01 00:00:24,normal,
70.0,99.0,,,2024-01-01 00:00:25,normal,
70.0,99.0,,,2024-01-01 00:00:26,normal,
70.0,99.0,,,2024-01-01 00:00:27,normal,
71.0,99.0,,,2024-01-01 00:00:28,normal,
70.0,99.0,,,2024-01-01 00:00:29,normal,
72.0,99.0,73.01498982348508,98.77571576503443,2024-01-01 00:00:30,normal,normal
72.0,99.0,72.84541968409881,98.87755708617767,2024-01-01 00:00:31,normal,normal
72.0,99.0,72.73437407069957,98.90967204367135,2024-01-01 00:00:32,normal,normal
73.0,99.0,72.65343661136515,98.92085902895845,2024-01-01 00:00:33,normal,normal
73.0,99.0,72.62076474374568,98.92648255788602,2024-01-01 00:00:34,normal,normal
74.0,99.0,73.30452505301145,98.99699603479378,2024-01-01 00:00:35,normal,normal
75.0,99.0,73.16428161746211,99.05480985514889,2024-01-01 00:00:36,normal,normal
73.0,99.0,73.13386745939223,99.06504701469649,2024-01-01 00:00:37,normal,normal
72.0,99.0,73.14777492141738,99.06943384267507,2024-01-01 00:00:38,normal,normal
72.0,100.0,73.1943588111217,99.07434238368886,2024-01-01 00:00:39,normal,normal
73.0,100.0,74.03311362900338,99.26955001103322,2024-01-01 00:00:40,normal,normal
75.0,100.0,73.96012171366269,99.22675600668607,2024-01-01 00:00:41,normal,normal
