pulse,spo2,gen_pulse,gen_spo2,timestamp,label,gen_label
70.0,99.0,,,2024-01-01 00:00:00,normal,
70.0,99.0,,,2024-01-01 00:00:01,normal,
70.0,98.0,,,2024-01-01 00:00:02,normal,
70.0,98.0,,,2024-01-01 00:00:03,normal,
69.0,98.0,,,2024-01-01 00:00:04,normal,
69.0,98.0,,,2024-01-01 00:00:05,normal,
69.0,98.0,,,2024-01-01 00:00:06,normal,
69.0,98.0,,,2024-01-01 00:00:07,normal,
70.0,98.0,,,2024-01-01 00:00:08,normal,
71.0,98.0,,,2024-01-01 00:00:09,normal,
71.0,98.0,,,2024-01-01 00:00:10,normal,
71.0,99.0,,,2024-01-01 00:00:11,normal,
71.0,99.0,,,2024-01-01 00:00:12,normal,
70.0,99.0,,,2024-01-01 00:00:13,normal,
71.0,99.0,,,2024-01-01 00:00:14,normal,
71.0,99.0,,,2024-01-01 00:00:15,normal,
71.0,99.0,,,2024-01-01 00:00:16,normal,
71.0,99.0,,,2024-01-01 00:00:17,normal,
71.0,99.0,,,2024-01-01 00:00:18,normal,
71.0,99.0,,,2024-01-01 00:00:19,normal,
74.0,99.0,,,2024-01-01 00:00:20,normal,
74.0,99.0,,,2024-01-01 00:00:21,normal,
75.0,99.0,,,2024-01-01 00:00:22,normal,
72.0,99.0,,,2024-01-01 00:00:23,normal,
70.0,99.0,,,2024-01-01 00:00:24,normal,
70.0,99.0,,,2024-01-01 00:00:25,normal,
70.0,99.0,,,2024-01-01 00:00:26,normal,
70.0,99.0,,,2024-01-01 00:00:27,normal,
71.0,99.0,,,2024-01-01 00:00:28,normal,
70.0,99.0,,,2024-01-01 00:00:29,normal,
72.0,99.0,71.55552873598305,99.25469687936047,2024-01-01 00:00:30,normal,normal
72.0,99.0,71.65666476300696,99.27359358482109,2024-01-01 00:00:31,normal,normal
72.0,99.0,71.79643377538125,99.26753367958003,2024-01-01 00:00:32,normal,normal
73.0,99.0,71.93814512568545,99.24653717632593,2024-01-01 00:00:33,normal,normal
73.0,99.0,72.02853251771066,99.21828236859147,2024-01-01 00:00:34,normal,normal
74.0,99.0,73.4191386216179,99.17714769996213,2024-01-01 00:00:35,normal,normal
75.0,99.0,73.42487446740476,99.20799683964981,2024-01-01 00:00:36,normal,normal
73.0,99.0,73.53515437911574,99.21054958560836,2024-01-01 00:00:37,normal,normal
72.0,99.0,73.66932127489581,99.19692655939427,2024-01-01 00:00:38,normal,normal
72.0,100.0,73.76246982410278,99.17555548725224,2024-01-01 00:00:39,normal,normal
73.0,100.0,73.76424046632427,99.49703351190371,2024-01-01 00:00:40,normal,normal
75.0,100.0,73.76748454791415,99.45162426017579,2024-01-01 00:00:41,normal,normal
